"REFERENCE","LOCATION","APP TYPE","APP TYPE DECODE","VALIDATION DATE","PROPOSAL","RECOMMENDATION","RECOMMENDATION DECODE","DECISION DATE","DEVELOPMENT TYPE","DEVELOPMENT TYPE DECODE","WARD","WARD DECODE","NORTHING","EASTING","KEY VALUE"
"07/54123/COU","273 - 275 Manchester Road East Little Hulton M38 9AW ","COU","Change of Use",30/1/2007 00:00:00,"Change of use from day nursery (Class D1) to dance school (Class D2)","PER","Approve",23/3/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","403529","372576","JCOMMINP40000"
"07/54179/COU","684 Bolton Road Pendlebury Swinton M27 8FH ","COU","Change of Use",30/1/2007 00:00:00,"Change of use of ground floor from shop to laundrette","PER","Approve",19/3/2007 00:00:00,"12","Changes Of Use","PE","Pendlebury","402503","378031","JDCJOFNP40000"
"07/54138/COU","Car Park At Tesco Stores Ltd Fairhills Industrial Estate Woodrow Way Irlam M44 6BL ","COU","Change of Use",1/2/2007 00:00:00,"Change of use of car parking spaces to hand valeting operation, siting of a cabin and erection of canopy","PER","Approve",9/3/2007 00:00:00,"10","Minor - Other","CD","Cadishead","393551","372008","JCSFRANP40000"
"07/54153/COU","417 Chorley Road Swinton M27 9UQ ","COU","Change of Use",5/2/2007 00:00:00,"Change of use of ground floor from doctors surgery to recruitment agency office and use of first floor for residential","PER","Approve",28/3/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","402183","377044","JD1HA3NP40000"
"07/54228/COU","174 Moorside Road Swinton M27 0LE ","COU","Change of Use",15/2/2007 00:00:00,"Change of use from shop to shop for the sale of hot food","REF","Refuse",11/4/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","401498","376584","JDPRSFNP40000"
"07/54259/COU","485 Liverpool Street Salford M6 5QQ ","COU","Change of Use",21/2/2007 00:00:00,"Change of use of car spares shop to shop for the sale of hot food, installation of extraction flue to rear, installation of a new shop front and use of first floor for staff room and storage","PER","Approve",10/4/2007 00:00:00,"12","Changes Of Use","LG","Langworthy","398604","380399","JDVFYBNP40000"
"07/54266/COU","32A Cleggs Lane Mill Seddon Street Little Hulton M38 9RN ","COU","Change of Use",23/2/2007 00:00:00,"Retention of recreational facility (Class D2)","PER","Approve",19/3/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","404287","372029","JDX8BWNP40000"
"07/54279/COU","Units16 And 20 Wardley Industrial Estate Shield Drive Worsley M28 2QB ","COU","Change of Use",26/2/2007 00:00:00,"Change of use of premises to Business (Class B1), General Industrial (Class B2) and Storage and Distribution (Class B8)","PER","Approve",30/3/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","402062","376056","JE61ZLNP40000"
"07/54278/COU","24 Hulton District Centre Worsley M28 0AU ","COU","Change of Use",26/2/2007 00:00:00,"Change of use from community office/drop-in to offices","REF","Refuse",20/4/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","403790","372040","JE61FONP40000"
"07/54277/COU","5 Chendre Close Pendlebury Swinton M27 6HJ ","COU","Change of Use",26/2/2007 00:00:00,"Change of use of land from residential to use of land for parking of commercial vehicle","REF","Refuse",17/4/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","402849","377601","JE60Z1NP40000"
"07/54276/COU","56 Church Street Eccles M30 0DF ","COU","Change of Use",27/2/2007 00:00:00,"Change of use from shop (Class A1) to betting shop (Class A2) and installation of new shop front and air conditioning condensers","PER","Approve",3/4/2007 00:00:00,"12","Changes Of Use","EC","Eccles","398635","377826","JE5ZS2NP40000"
"07/54166/COU","241 - 243 Monton Road Eccles M30 9PS ","COU","Change of Use",27/2/2007 00:00:00,"Change of use of first floor from storage to offices together with rear extension to provide enclosed staircase","PER","Approve",10/4/2007 00:00:00,"06","Minor - Dwellings","EC","Eccles","399452","376703","JD700GNP40000"
"07/54367/COU","Bank House Bury Old Road Salford M7 4PX ","COU","Change of Use",7/3/2007 00:00:00,"Change of use to financial and professional services (A2) with insertion of windows to side and rear elevations.","PER","Approve",26/4/2007 00:00:00,"12","Changes Of Use","KR","Kersal","401947","383714","JEXXDWNP40000"
"07/54353/COU","186 Moorside Road Swinton M27 9HA ","COU","Change of Use",7/3/2007 00:00:00,"Change of use from storage and distribution (Class B8) to storage and distribution and retail (Class B8 and A1)","WDN","Application Withdrawn",30/4/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","401546","376618","JESMJFNP40000"
"07/54369/COU","171 Manchester Road Pendlebury Swinton M27 4FB ","COU","Change of Use",9/3/2007 00:00:00,"Change of use of ground and first floor of dwelling to a childrens day nursery","PER","Approve",30/4/2007 00:00:00,"12","Changes Of Use","SS","Swinton South","401215","378619","JEY5C4NP40000"
"07/54379/COU","401 - 403 Liverpool Road Eccles M30 7HB ","COU","Change of Use",12/3/2007 00:00:00,"Change of use to a shop for sale of hot food (Class A5) and/or cafe (Class A3)","WDN","Application Withdrawn",29/3/2007 00:00:00,"12","Changes Of Use","BA","Barton","398130","375992","JF5QYINP40000"
"07/54240/COU","The Bridge 40 Dearmans Place Salford M5 5EW ","COU","Change of Use",14/3/2007 00:00:00,"Change of use of ground floor retail unit to A1,A2,A3,B1 or D1 uses and construction of glazed facade to replace existing timber hoarding","PER","Approve",8/5/2007 00:00:00,"12","Changes Of Use","OR","Ordsall","398495","383400","JDROA6NPO1000"
"07/54408/COU","Units 19 And 20 Agecroft Enterprise Park Shearer Way Swinton M27 8WA ","COU","Change of Use",19/3/2007 00:00:00,"Change of use from business (Class B1) to training centre (Class D1)","WDN","Application Withdrawn",18/5/2007 00:00:00,"12","Changes Of Use","PE","Pendlebury","401439","379984","JF92SLNP40000"
"07/54407/COU","Rear Yard Area Of 38 Liverpool Road Cadishead M44 5AF ","COU","Change of Use",19/3/2007 00:00:00,"Use of rear yard for the storage of plant and machinery (used in building and construction industry)","REF","Refuse",11/5/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","392764","371269","JF92CWNP40000"
"07/54394/COU","446 Manchester Road East Little Hulton M38 9NS ","COU","Change of Use",21/3/2007 00:00:00,"Change of use from retail to shop for sale of hot food","REF","Refuse",4/5/2007 00:00:00,"12","Changes Of Use","WN","Walkden North","403814","372196","JF7L7LNPN1000"
"07/54467/COU","451 Chorley Road Swinton M27 9LQ ","COU","Change of Use",26/3/2007 00:00:00,"Change of use from estate agent (A2) with ancillary living accomodation at first floor to two self-contained flats including first floor rear extension and alterations to front elevation","PER","Approve",4/9/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","402272","376852","JFNX6DNP40000"
"07/54304/COU","Land Adjacent To   198 Manchester Road West Little Hulton M38 9UW ","COU","Change of Use",1/4/2007 00:00:00,"Use of vacant land as additional garden area","PER","Approve",14/5/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","404235","371443","JEHC0XNPB0000"
"07/54490/COU","F1b Lowry Designer Outlet The Quays Salford M50 3AH ","COU","Change of Use",2/4/2007 00:00:00,"Change of use of unit for B1 (Business) and/or A1 (Retail)","PER","Approve",25/5/2007 00:00:00,"12","Changes Of Use","OR","Ordsall","397190","380602","JFVG1YNP40000"
"07/54506/COU","21 Ellesmere Street Swinton M27 0LA ","COU","Change of Use",3/4/2007 00:00:00,"Change of use of land to private garden to include the erection of 1.85m high fencing","PER","Approve",25/5/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","401378","376573","JFXFTHNPN1000"
"07/54557/COU","356 - 358 Worsley Road Eccles M30 8JA ","COU","Change of Use",12/4/2007 00:00:00,"Change of use of first floor from storage to residential flat with first floor rear extension and alterations to shop front.","PER","Approve",11/9/2007 00:00:00,"12","Changes Of Use","WI","Winton","399377","375484","JGLD1SNP40000"
"07/54564/COU","8 Bentley Road Salford M7 4HF ","COU","Change of Use",13/4/2007 00:00:00,"Change of use from residential to child care/nursery for a temporary period","WDN","Application Withdrawn",8/6/2007 00:00:00,"12","Changes Of Use","KR","Kersal","401813","383310","JGN68PNP40000"
"07/54558/COU","Ladywell Court 673 - 675 Eccles New Road Salford M50 1AY ","COU","Change of Use",13/4/2007 00:00:00,"Retention of change of use from business (Class B1) to storage and distribution (Class B8)","PER","Approve",26/6/2007 00:00:00,"05","Major - Other","SW","Weaste  And Seedley","398591","378695","JGLFPMNP40000"
"07/54567/DEEM3","29 Brookhurst Lane Little Hulton M38 9TF ","COU","Change of Use",16/4/2007 00:00:00,"Change of use of ground floor from shop to office and community meeting place (Residents Association)","PER","Approve",8/6/2007 00:00:00,"07","Minor - Offices, R & D, light industry","LH","Little Hulton","404584","371506","JGOPCHNP40000"
"07/54577/COU","442 Liverpool Road Eccles M30 7HZ ","COU","Change of Use",18/4/2007 00:00:00,"Retention of use of premises as a dwellinghouse","PER","Approve",13/6/2007 00:00:00,"12","Changes Of Use","WI","Winton","398135","375948","JGQLC6NP40000"
"07/54590/COU","65 Liverpool Road Eccles M30 0WB ","COU","Change of Use",20/4/2007 00:00:00,"Change of use from offices to shop for the sale of hot food","WDN","Application Withdrawn",7/6/2007 00:00:00,"12","Changes Of Use","BA","Barton","398548","377032","JGYH4CNP40000"
"07/54589/COU","61 Weaste Road Salford M5 5HL ","COU","Change of Use",23/4/2007 00:00:00,"Change of use from single family dwelling into three self contained flats","PER","Approve",15/6/2007 00:00:00,"12","Changes Of Use","SW","Weaste  And Seedley","398691","379633","JGYGWUNP40000"
"07/54610/COU","Unit 4 Fairhills Road Industrial Estate Tallow Way Irlam M44 6RJ ","COU","Change of Use",24/4/2007 00:00:00,"Change of use from warehousing/offices to childrens soft play warehouse","DEF","Deferred",11/7/2007 00:00:00,"03","Major - Heavy ind. storage, warehousing","CD","Cadishead","393641","372119","JHAY5ENP40000"
"07/54607/COU","Gatekeepers Lodge The Boatsteps Barton Road Worsley M28 2PB ","COU","Change of Use",24/4/2007 00:00:00,"Change of use from business use to residential","REF","Refuse",15/6/2007 00:00:00,"12","Changes Of Use","WO","Worsley","400423","374803","JHAVQKNP40000"
"07/54608/COU","41 Murray Street Salford M7 2DX ","COU","Change of Use",24/4/2007 00:00:00,"Change of use from single family dwelling into two apartments","REF","Refuse",15/6/2007 00:00:00,"12","Changes Of Use","BR","Broughton","400779","382696","JHAWBINP40000"
"07/54368/COU","Part Of Ground Floor HHS House 47 Brunel Avenue Salford M5 4JA ","COU","Change of Use",26/4/2007 00:00:00,"Change of use from offices to private hire taxi business.","PER","Approve",29/5/2007 00:00:00,"12","Changes Of Use","OR","Ordsall","398566","381790","JEXZB4NP40000"
"07/54628/COU","Units 2, 3 And 4 Armitage Avenue Little Hulton   ","COU","Change of Use",27/4/2007 00:00:00,"Use of units to include A1, A2 (gaming) and A3 (restaurant)","PER","Approve",26/6/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","403847","371896","JHGHXDNP40000"
"07/54593/COU","120 Liverpool Road Irlam M44 6FF ","COU","Change of Use",30/4/2007 00:00:00,"Change of use from osteopath clinic to sandwich bar","PER","Approve",22/6/2007 00:00:00,"12","Changes Of Use","IR","Irlam","395016","372597","JH1MM4NPO1000"
"07/54594/COU","284 Littleton Road Salford M7 3QG ","COU","Change of Use",2/5/2007 00:00:00,"Change of use from shop (Class A1) to shop for sale of hot food (Class A5) to include the installation of an extractor flue","REF","Refuse",25/6/2007 00:00:00,"12","Changes Of Use","KR","Kersal","401622","381060","JH20NTNPN1000"
"07/54670/COU","223 Bolton Road Salford M6 7HP ","COU","Change of Use",3/5/2007 00:00:00,"Change of use from office to shop for the sale of hot food and new shop front","REF","Refuse",27/6/2007 00:00:00,"12","Changes Of Use","CL","Claremont","400118","380050","JHVD32NP40000"
"07/54669/COU","Kings Court 34 St Georges Way Salford M6 6SU ","COU","Change of Use",3/5/2007 00:00:00,"Change of use from day nursery to offices","REF","Refuse",27/6/2007 00:00:00,"12","Changes Of Use","IW","Irwell Riverside","399943","381443","JHVCMXNP40000"
"07/54679/COU","Unit 6 Albion Industrial Estate Cobden Street Salford M6 6NA ","COU","Change of Use",4/5/2007 00:00:00,"Change of use to garage/mot testing station","PER","Approve",13/6/2007 00:00:00,"12","Changes Of Use","IW","Irwell Riverside","399724","381216","JHVQ7WNP40000"
"07/54677/COU","36 Hankinson Way Salford M6 5JA ","COU","Change of Use",4/5/2007 00:00:00,"Change of use from retail (Class A1) to financial/professional services (Class A2)","PER","Approve",25/6/2007 00:00:00,"12","Changes Of Use","LG","Langworthy","399135","381062","JHVMCTNP40000"
"07/54354/COU","Land On East Side Of Mill Street Salford 6   ","COU","Change of Use",6/5/2007 00:00:00,"Use of land for a jet car wash facility","PER","Approve",16/8/2007 00:00:00,"12","Changes Of Use","IW","Irwell Riverside","399722","381270","JESMXGNP40000"
"07/54473/COU","The Ugly Duckling 1 My Street Salford M5 5GA ","COU","Change of Use",10/5/2007 00:00:00,"Change of use from public house to 9 apartments and alterations to elevations","WDN","Application Withdrawn",13/6/2007 00:00:00,"06","Minor - Dwellings","SW","Weaste  And Seedley","398318","380365","JFPJ1CNP40000"
"07/54691/COU","65 Regent Street Eccles M30 0BP ","COU","Change of Use",10/5/2007 00:00:00,"Change of use from training centre and offices to daytime cafe","PER","Approve",2/7/2007 00:00:00,"12","Changes Of Use","EC","Eccles","398609","378059","JI3324NP40000"
"07/54651/COU","19 Liverpool Street Salford M5 4LY ","COU","Change of Use",14/5/2007 00:00:00,"Change of use of existing office warehouse to place of worship (Class D1)","REF","Refuse",6/7/2007 00:00:00,"12","Changes Of Use","OR","Ordsall","398115","382315","JHQA62NPO1000"
"07/54611/COU","50 Liverpool Road Eccles M30 0WA ","COU","Change of Use",17/5/2007 00:00:00,"Change of use from shop to shop for the sale of hot food","REF","Refuse",11/7/2007 00:00:00,"12","Changes Of Use","EC","Eccles","398573","377152","JHAYUDNP40000"
"07/54732/COU","The Yard Fountain Street Eccles   ","COU","Change of Use",18/5/2007 00:00:00,"Change of use of builders yard to motor vehicle sales","PER","Approve",21/3/2012 00:00:00,"Q20","Change of Use","BA","Barton","397759","376762","JIFST5NP40000"
"07/54692/COU","185 Langworthy Road Salford M6 5PW ","COU","Change of Use",21/5/2007 00:00:00,"Change of use of a shop to a dental surgery","PER","Approve",11/7/2007 00:00:00,"12","Changes Of Use","LG","Langworthy","398873","380510","JI34KFNPN1000"
"07/54750/COU","96 Manchester Road East Little Hulton M38 9LB ","COU","Change of Use",23/5/2007 00:00:00,"Change of use from shop to sandwich shop/cafe","REF","Refuse",11/7/2007 00:00:00,"12","Changes Of Use","WN","Walkden North","403366","373049","JIJNXWNP40000"
"06/53800/COU","214 Manchester Road East Little Hulton M38 9LG ","COU","Change of Use",23/5/2007 00:00:00,"Change of use from one single dwelling into two self-contained flats together with the demolition of existing rear lean-to and erection of single storey rear extension","PER","Approve",18/6/2007 00:00:00,"12","Changes Of Use","WN","Walkden North","403496","372763","J8OFOUNPO1000"
"07/54761/COU","19 King Edwards Buildings Bury Old Road Salford M7 4QJ ","COU","Change of Use",24/5/2007 00:00:00,"Change of use from shop to shop for sale of hot food","PER","Approve",7/8/2007 00:00:00,"12","Changes Of Use","KR","Kersal","401928","383736","JISNAJNP40000"
"07/54782/COU","Ellesmere Inn 195 Liverpool Road Eccles M30 0QW ","COU","Change of Use",30/5/2007 00:00:00,"Erection of a single storey extension to front, a first floor side extension, a single storey rear extension and alterations to front elevation and the change of use of the premises from public house to grocery store and sandwich bar at ground floor and two self contained flats at first floor level.","WDN","Application Withdrawn",18/7/2007 00:00:00,"12","Changes Of Use","BA","Barton","398473","376701","JIUMB4NP40000"
"07/54791/COU","294 Whit Lane Salford M6 6JF ","COU","Change of Use",1/6/2007 00:00:00,"Change of use of premises to a MOT station","PER","Approve",6/7/2007 00:00:00,"12","Changes Of Use","IW","Irwell Riverside","400690","380967","JJ5L3LNP40000"
"07/54805/COU","63 Cromwell Road Eccles M30 0GX ","COU","Change of Use",1/6/2007 00:00:00,"Insertion of a window in the rear elevation and the change of use from single family dwelling into two apartments","PER","Approve",24/7/2007 00:00:00,"12","Changes Of Use","BA","Barton","398650","376735","JJ3XXRNP40000"
"07/54822/COU","44 St Marys Road Worsley M28 3RF ","COU","Change of Use",6/6/2007 00:00:00,"Change of use of vacant land to form a garden area at the side of dwelling and erection of a 1.8m high wall to enclose the proposed garden area.","PER","Approve",7/3/2008 00:00:00,"12","Changes Of Use","WN","Walkden North","404039","373406","JJ9OHLNP40000"
"07/54823/FUL","Crown Hotel 24 Blackfriars Street Salford M3 5BQ ","COU","Change of Use",6/6/2007 00:00:00,"Change of use from public house to bar and restaurant at ground floor and basement level, office at first floor and residential at second floor, including alterations to elevations and erection of a two storey rear extension at first and second floor levels.  Ventilation duct to rear elevation.","PER","Approve",28/9/2007 00:00:00,"10","Minor - Other","OR","Ordsall","398623","383593","JJ9PCJNP40000"
"07/54735/COU","388 Liverpool Road Eccles M30 8QD ","COU","Change of Use",6/6/2007 00:00:00,"Retrospective planning application for the change of use of a ground floor from shop (class A1) to a self-contained flat","REF","Refuse",25/7/2007 00:00:00,"12","Changes Of Use","WI","Winton","398233","376077","JIG60GNPN1000"
"07/54850/COU","130 Parrin Lane Eccles M30 8BE ","COU","Change of Use",7/6/2007 00:00:00,"Change of use from a single family dwelling to a delicatessant/cafe","PER","Approve",1/8/2007 00:00:00,"12","Changes Of Use","WI","Winton","399416","375887","JJIJ85NP40000"
"07/54854/COU","544 Liverpool Road Eccles M30 7JA ","COU","Change of Use",8/6/2007 00:00:00,"Erection of a single storey rear extension, alterations to the front elevation and change of use of ground floor shop unit into a self contained flat","REF","Refuse",31/7/2007 00:00:00,"12","Changes Of Use","WI","Winton","397953","375730","JJINA1NP40000"
"07/54522/COU","5 Tootal Road Salford M5 5HJ ","COU","Change of Use",12/6/2007 00:00:00,"Change of use from shop to shop sale of hot food","REF","Refuse",7/8/2007 00:00:00,"12","Changes Of Use","SW","Weaste  And Seedley","398694","379606","JGBY4FNPN1000"
"07/54513/COU","95 Liverpool Road Cadishead M44 5BG ","COU","Change of Use",13/6/2007 00:00:00,"Change of use of first floor residential accommodation into offices","PER","Approve",7/8/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","392513","371222","JG0X5DNP40000"
"07/54903/COU","422 Worsley Road Eccles M30 8HQ ","COU","Change of Use",14/6/2007 00:00:00,"Change of use from shop to shop for the sale of hot food","REF","Refuse",9/8/2007 00:00:00,"12","Changes Of Use","WI","Winton","399467","375394","JJXO6FNP40000"
"07/54527/COU","350 Worsley Road Swinton M27 0FH ","COU","Change of Use",14/6/2007 00:00:00,"Conversion of a single dwelling into 3 self-contained flats","PER","Approve",9/8/2007 00:00:00,"12","Changes Of Use","WO","Worsley","400811","376507","JGC6T6NPN1000"
"07/54913/COU","43 Leigh Road Worsley M28 1HP ","COU","Change of Use",15/6/2007 00:00:00,"Change of use from offices to residential","REF","Refuse",7/8/2007 00:00:00,"12","Changes Of Use","BE","Boothstown And Ellenbrook","400704","372200","JJZNRENP40000"
"07/54591/FUL","Moss Farm Cutnook Lane Irlam M44 5NB ","COU","Change of Use",15/6/2007 00:00:00,"Change of use of agricultural land to form two fishing lakes, siting of log cabin together with associated car parking and treatment plant for foul sewerage","REF","Refuse",14/3/2008 00:00:00,"05","Major - Other","IR","Irlam","396028","371722","JH07ATNPO1000"
"07/54908/COU","134 Trafford Road Eccles M30 0JS ","COU","Change of Use",15/6/2007 00:00:00,"Conversion of outbuildings into three dwellings together with associated car parking and amenity space (Re-submission of planning application 06/52884/FUL)","REF","Refuse",28/9/2007 00:00:00,"12","Changes Of Use","BA","Barton","398334","377074","JJZ8QONP40000"
"07/54917/COU","572 Liverpool Road Irlam M44 6ZA ","COU","Change of Use",19/6/2007 00:00:00,"Change of use of ground floor from retail to commercial (property letting agency)","PER","Approve",14/8/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","393574","371642","JK0YGLNP40000"
"07/54966/COU","Cavendish House 27 Cavendish Road Eccles M30 9JE ","COU","Change of Use",25/6/2007 00:00:00,"Change of use from elderly residential unit (C2) to community theraputic services (D1)","REF","Refuse",1/11/2007 00:00:00,"12","Changes Of Use","EC","Eccles","399489","377221","JKE15INP40000"
"06/53506/COU","Building Rear Of 155A Liverpool Road Cadishead M44 5BT ","COU","Change of Use",28/6/2007 00:00:00,"Change of existing smithy/store into a dwelling to include demolition of existing lean-to and erection of a part single part two storey rear extension","PER","Approve",20/9/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","392163","371038","J5SAR0NP40000"
"07/54978/COU","186 Moorside Road Swinton M27 9HA ","COU","Change of Use",28/6/2007 00:00:00,"Change of use from storage and distribution (Class B8) to storage and distribution and retail (Classes B8 and A1)","PER","Approve",28/11/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","401546","376618","JKEJPXNP40000"
"07/55036/COU","154 Walkden Road Worsley M28 7DP ","COU","Change of Use",2/7/2007 00:00:00,"Change of use from a ladies hair salon to sale of hot food","WDN","Application Withdrawn",19/4/2012 00:00:00,"12","Changes Of Use","WS","Walkden South","402521","373811","JL23C1NPN1000"
"07/55049/COU","589 Liverpool Road Irlam M44 5BE ","COU","Change of Use",10/7/2007 00:00:00,"Change of use of shop with ancillary living accommodation at first floor to two self contained flats including erection of a two storey rear extension and external alterations","REF","Refuse",3/9/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","393485","371616","JLD6LENP00400"
"07/54959/COU","The Ugly Duckling 1 My Street Salford M5 5GA ","COU","Change of Use",11/7/2007 00:00:00,"Change of use of former public house to nine apartments and alterations to elevations (re-submission of planning application 07/54473/COU)","WDN","Application Withdrawn",31/8/2007 00:00:00,"12","Changes Of Use","SW","Weaste  And Seedley","398318","380365","JKCDZ9NPN1000"
"07/55084/COU","4 Liverpool Road Cadishead M44 5AF ","COU","Change of Use",16/7/2007 00:00:00,"Change of use from shop (Class A1) to financial and professional services (Class A2)","WDN","Application Withdrawn",20/8/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","392822","371284","JLMF3ONP00400"
"07/54892/COU","198 Manchester Road West Little Hulton M38 9UW ","COU","Change of Use",16/7/2007 00:00:00,"Use of land as extension to existing garden area","PER","Approve",4/9/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","404235","371443","JJVU8VNPN1000"
"07/54306/COU","46 Charlton Avenue Eccles M30 0JQ ","COU","Change of Use",20/7/2007 00:00:00,"Change of use of alleyway to private garden and erection of 1.8m high fence with 30cm high trellis top and including construction of a detached garage","PER","Approve",11/10/2007 00:00:00,"12","Changes Of Use","BA","Barton","398295","376857","JEHM49NPN1000"
"07/55133/COU","Unit 8 Centenary Park Coronet Way Salford M50 1RE ","COU","Change of Use",23/7/2007 00:00:00,"Change of use from industrial unit to a building trade skills training centre and external alterations","PER","Approve",21/9/2007 00:00:00,"05","Major - Other","SW","Weaste  And Seedley","398438","378645","JM1B9MNP00400"
"07/55072/COU","Land Adjacent To 19 Woodside Avenue Worsley MANCHESTER M28 3HR ","COU","Change of Use",24/7/2007 00:00:00,"Use of vacant land as extension to garden with upto 2m high boundary fencing","WDN","Application Withdrawn",12/9/2007 00:00:00,"12","Changes Of Use","WS","Walkden South","402720","374885","JLFGKINP01N00"
"07/55171/COU","284 Littleton Road Salford M7 3QG ","COU","Change of Use",25/7/2007 00:00:00,"Change of use from shop (Class A1) to shop for the sale of hot food and installation of an extractor flue","REF","Refuse",18/9/2007 00:00:00,"12","Changes Of Use","KR","Kersal","401622","381060","JMG2N6NP00400"
"07/54673/COU","100 Worsley Road Eccles M30 8LS ","COU","Change of Use",25/7/2007 00:00:00,"Change of use of ground floor living room into shop","PER","Approve",18/9/2007 00:00:00,"12","Changes Of Use","WI","Winton","398803","375919","JHVHMFNP40000"
"07/55247/COU","268 Gerald Road Salford M6 6BF ","COU","Change of Use",25/7/2007 00:00:00,"Change of use from dental surgery to a single family dwelling","PER","Approve",18/9/2007 00:00:00,"12","Changes Of Use","IW","Irwell Riverside","400027","381842","JN4ANENP00400"
"07/55125/COU","621 - 629 Liverpool Road Irlam M44 5BE ","COU","Change of Use",26/7/2007 00:00:00,"Change of use of first floor to four self contained flats","WDN","Application Withdrawn",19/9/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","393380","371573","JLZY5TNP00400"
"07/54999/COU","594 Bolton Road Pendlebury Swinton M27 4ET ","COU","Change of Use",3/8/2007 00:00:00,"Change of use from shop to shop for sale of hot food","PER","Approve",10/12/2007 00:00:00,"12","Changes Of Use","PE","Pendlebury","402327","378199","JKN7LMNPN1000"
"07/55238/COU","G40a Lowry Designer Outlet The Quays Salford M50 3AG ","COU","Change of Use",3/8/2007 00:00:00,"Change of use to A1/A2/A3 and/or A4 uses (including external extensions to unit floorspace)","PER","Approve",26/9/2007 00:00:00,"12","Changes Of Use","OR","Ordsall","397130","380583","JN2OURNP00400"
"07/55245/COU","447 Chorley Road Swinton M27 9LQ ","COU","Change of Use",6/8/2007 00:00:00,"Change of use from a photographic studio to a shop for a sale of hot food","REF","Refuse",27/9/2007 00:00:00,"12","Changes Of Use","SN","Swinton North","402268","376861","JN45EYNP00400"
"07/55215/COU","632 Liverpool Road Irlam M44 5AD ","COU","Change of Use",7/8/2007 00:00:00,"Change of use from warehouse to a childrens soft play warehouse","WDN","Application Withdrawn",29/10/2007 00:00:00,,,"CD","Cadishead","393097","371321","JMRQM8NP00400"
"07/55241/COU","84 Manchester Road West Little Hulton M38 9UT ","COU","Change of Use",8/8/2007 00:00:00,"Change of use from single family dwelling into two self contained flats","PER","Approve",1/10/2007 00:00:00,"12","Changes Of Use","LH","Little Hulton","404034","371783","JN2TA3NP00400"
"07/55218/COU","8 Tootal Road Salford M5 5FX ","COU","Change of Use",10/8/2007 00:00:00,"Change of  use from domestic to nursery/domestic","PER","Approve",4/10/2007 00:00:00,"12","Changes Of Use","SW","Weaste  And Seedley","398722","379559","JMT9DINP00400"
"07/54940/COU","54 Swinton Hall Road Pendlebury Swinton M27 4BJ ","COU","Change of Use",17/8/2007 00:00:00,"Change of use from a private hire booking office and waiting room to shop and installation of roller shutters to front elevation","PER","Approve",28/9/2007 00:00:00,"12","Changes Of Use","SS","Swinton South","401827","377827","JK8TO7NPN1000"
"07/55272/COU","15 Bridgewater Road Worsley M28 3JE ","COU","Change of Use",17/8/2007 00:00:00," Change of use from financial/professional services (Class A2) to restaurant (Class A3), construction of disabled access, installation of security shutters/window railings and downlighting to front elevation.","PER","Approve",20/12/2007 00:00:00,"12","Changes Of Use","WS","Walkden South","402988","373638","JN8FNZNP00400"
"07/55236/COU","66 Church Street Eccles M30 0DA ","COU","Change of Use",20/8/2007 00:00:00,"Change of use from shop to form extended area to adjoining licenced betting office","REF","Refuse",12/10/2007 00:00:00,"12","Changes Of Use","EC","Eccles","398596","377816","JN2N53NP00400"
"07/55310/COU","Basement And Ground Floor 2 Bridgewater Road Worsley M28 3JE ","COU","Change of Use",21/8/2007 00:00:00,"Change of use from travel agency (Class A1) to financial and professional services (A2)","PER","Approve",11/10/2007 00:00:00,"12","Changes Of Use","WS","Walkden South","403063","373637","JNSDJ0NP00400"
"07/55330/COU","Unit A West One Retail Park West One Way Salford M50 1ZD ","COU","Change of Use",28/8/2007 00:00:00,"Change of use from retail (Class A1) to restaurant (Class A3)","PER","Approve",22/10/2007 00:00:00,"12","Changes Of Use","SW","Weaste  And Seedley","398455","378203","JNUG1ENP00400"
"07/55332/COU","New Farm Barns Mossland Cottage Astley Road Irlam MANCHESTER M44 6BR ","COU","Change of Use",29/8/2007 00:00:00,"Conversion of barn into two dwellings","REF","Refuse",23/10/2007 00:00:00,"12","Changes Of Use","CD","Cadishead","395889","370372","JNUH4VNP00400"
